ahahha sesuai ekspektasi	positive
bismillahirrahmanirrahim tau give n go kritik habishabisan timnas bilang bocah main tiktok pas tanding benarbenar kaget apresiasi timnas bilang level midlevel asia level uzbekistan iraq wni sok erti timnas cari celah cari salah serang sty	negative
egy ajak sedih	negative
ridho kali blunder pasang	positive
waowww timnas amunisi full minder seasia	neutral
kasih main witan	positive
labibah wkwkwk mah ketawa baca komennya malas balas cari info komen	negative
plisss main simplee banyak gocek	neutral
komentar towel	neutral
nyala abangkuhh	neutral
vamos	neutral
althafunnisa modal lempar robi darwis	negative
alhamdulillah	positive
netizen stop hujat timnas sombong bikin malu indonesia	negative
cangkeman nama proses main muda lo	negative
alhamdulillah hebat	positive
kiper bench dongsangat sedih sedih	negative
karepmu lek elkan baggot striker	neutral
bismillahirrahmanirrahim moga poin	positive
sepak bola sejajar jepang	negative
witan masuk kemarin ganti asnawi rusakk main	negative
main selebgram	neutral
bagus	positive
purwanto asnawi mata	negative
asnawi bangga indonesia	positive
rafael struick bagus pegamg bola gera repot bek lawan	negative
keren	neutral
dibayangin abang tau	negative
bangga cinta cinta	positive
tahan tahan	negative
terima kasih juang bangga	positive
budalkan list prescon	neutral
var kocak	negative
ayo	positive
beliau	neutral
draw lolos braw tolong	negative
allah timnas main gua degan weh sedih	neutral
congrats indonesia	positive
gol	positive
sepong	neutral
rafael struick sananta	neutral
magis sty kmeja putih vs jepang	negative
jebol sisi kiri	negative
kemarin gue tonton chanel arab	negative
fydptr besok jual monyet lupa	negative
setiaaaaaa bacot tinggal support salah	negative
wkwkwk maluin net indosangat sedih	positive
jokes tv	neutral
minimal	negative
kasih keras	positive
harap	neutral
elkanpattynama mainkanisedih sedih lord egy	negative
stystay	neutral
kurang foul	negative
offside anjing	negative
titip bandung jawa barat main lawan tim peringkat tahan maju indonesia bertahuntahun kualitas bukti dunia taktik tahan negara indonesia	negative
alhamdulillah tinggal finishing butuh striker	negative
menit pas kiper vietnam posisition dribble gilir possesion shoot main bebas kotak penalti	negative
gol bunuh melulu	negative
fli	neutral
aaaaaaa kartu merah brooo vietnam karma nyikut wajah main indonesia	positive
ayooooo main maksimal semangat ayo dont give keep focus game garuda	positive
terima kasih juang garuda semangat	positive
beda kelas kualifikasi piala dunia	positive
lawan jepang kemarin lini tahan baik salah konyol mudah tembus kiri	negative
besok	neutral
starting	neutral
masya allah manis andaaahhhhh semangat timnas moga hasil muas bravooo indonesia	positive
moga tambah semangat saing	positive
andelin teh wajar rangking atas level menang cuman lawan asean	negative
mantap line nyacuma bagus sananta coba babak	positive
mantap	positive
nama nazar hadeh	negative
sandy walsh auto menang cinta	positive
bismillahirrahmanirrahim egy cetak gol	positive
var gila gila astagfirullah	negative
shayneeeeeeeee	neutral
golllll	neutral
counter attack kayak cocok witan daripasa egy witan buka ruang mantap ivar tau bagi bola witan egy loyo kontrol bola lepas mulu gedek gua anjj	negative
julit	neutral
astaga	negative
panjang shin taeyong	positive
hm	neutral
merah firee	positive
latih online	positive
egy wasit ta min	negative
serang	negative
needd akun mampir harga miring guyss rekberr ayo	positive
lanjutkannn juang timnass lolos semifinal	negative
butuh strikersedih	negative
telpon mumpung istirahat babak	negative
cetak gol gawang jepang bagus banget	positive
lanjut lfg	negative
top	positive
mari lanjut latih	positive
hantam	negative
indonesia sandy walsh main suasana hidup min keren main sandy walsh lawan jepang	negative
sangka menang lawan vietnam langsung piala asia piala aepep	positive
sebentar salah	negative
hmmm coba abang napas etik biar ngena paham	negative
pikir sty panggil asbabi	negative
sty tepat wajib panjang	neutral
gapapa kalah keren banget mainnyasedih	negative
malam bayar kontan hujat hasil skor arhan turun	negative
lawan jepang sandy walsh wajib starter	negative
without big expectation lets fly high garuda cinta	positive
alhamdulillah siasia juang punggawa timnas cipta sejarah piala asia bagus bagus bagus	positive
tunggu bukti gebrak dunia top pal erick	neutral
wiljanpluim ayo	positive
biar kalimat sederhana guru bahasa indonesia marah	negative
minimal bangga sedikit deck daripda ngebanggain negara	negative
berharapharap menang aku fisik insting komunikasi kontrol pikir kiper kaku passing panik labil lempar pendek benah otak paham	negative
okky makan ngesot lemes	negative
pratama	neutral
kalah tidur teras	negative
ayo poin penuh	positive
tuju latih sty assisten nova arianto ganti timnas indonesia racik main kembang evaluasi contoh main korea jepang thailand pasang striker mandul piala asia qatar mandul mandul mandul	positive
main arhan main berani nyundulnya main baggott	neutral
gol jordy salah antisipasi bego	positive
terima kasih latih turnamen	positive
woiiii shayne pattynama shayne pattynama cadang	negative
full senyum gong	positive
butuh mental	negative
bangga apa hasil cinta terima kasih timnas garuda juang cinta	positive
main protes ikhlas posisi serang lawan offside wasit tinjau var sedih	negative
lol gue pas situ udah planga plongo emang player jordy player kapten main	positive
dukung mundur udah membengga buli main timnas lagikuat	positive
jelek banget statistik moga lawan vietnam kembang	negative
lihat rekor om	positive
witan egy hokky dark sistem	negative
bagus gamecinta	positive
eggy ganti asnawisedih sedih	negative
erti bola diam abang rame entar ngetag	negative
apa apa gppp	negative
main ganti perform	neutral
australia diskualifikasi wilayah asia	neutral
wtf guys	positive
fydptr pengin gue sedot deh tuh ubunubunmu	neutral
gusthian top komen	positive
semangatttttt	neutral
salam corn toll	neutral
towel meh ngopo teh ra urusannnn	negative
ayang kenal eluh kagak mbak	negative
top orang serius	neutral
optimis tembus	positive
tuju abang laga masuk sty instruksi hokky	negative
menit tambah gol	positive
kemarin marah cari salah arhan bilang anak emas main panas banget presscon malu marah line kasihan banget arhan salah mulu main bagus salah	negative
hifzadarmawan dimainin gimanaapa percaya sty	positive
yacop sangar cuy	neutral
serang bos gilagilaan bismillahirrahmanirrahim	negative
tonton info striker lokal bek model asmawi main main lokal kaya ferdinan asmawi cocok main bola tingkat internasional	positive
kasih kabar pakai hp tunjuk muka towel fakhri husaini	neutral
alhamdulillah cinta	positive
alhamdulillah cinta	positive
terima kasih juang garuda cinta cinta cinta	positive
cinta cinta cinta cinta cinta	positive
congrats garuda muda bangga	positive
saddil sedih enak juang pas kualifikasi piala asia	positive
sedih sedih	negative
kalah gua bangkit indonesia	negative
prabowo	neutral
shayne pattynama main cuk	neutral
terima kasih garudaelang	positive
egy gess	neutral
kasih keras abang sandy walsh	positive
formasi walsh justin posisi bek	positive
wasit pabeulit wae	negative
eh gue komen doang buset prestasi sedih tertawa	neutral
milik	positive
alkatiri berkat supportmu abang cinta cinta	positive
yoh iso yoh	neutral
optimis baik indonesia fokus kurang salah	positive
egois witan	negative
bismillahirrahmanirrahim nih bahan cacat besok menang akurasi umpan bla bla bla	negative
sananta bawa struik loyo	negative
love cinta bangga	positive
ernando eee keren	neutral
abang gue suka komentar	positive
uptimis lawan jepang moga	negative
cinta	positive
absen tertawa	negative
guna indonesia	positive
keep strong garuda mentingin warga berekspektasi kembang	positive
lilipaly beking timnas	neutral
samasama cetak gol beda jepang butuh injury time bikin gol imbang lawan jepang optimis	neutral
bismillahirrahmanirrahim moga hasil maksimal semangat juang garuda	positive
sananta mana	neutral
shayne pattynama paksa arhan main lb kocak	negative
aditya typoan basi ah	negative
ditt buzzernya towel	neutral
sananta	neutral
maksud sananta main	positive
proses maarten baru sindir	negative
tombol panjang sty	positive
obat	negative
cuman main keren bagus gila garuda	positive
pening	negative
apa nice try gol blunder moga besok om imbang bahrain bantai	negative
peluang pas kiper maju sayang sekaliii	positive
ayo garuda elang	positive
jossss	neutral
kasih rame pokok	positive
sty panjang kontrak jangka	positive
goblok	negative
punten kanu amat nu sok komentar wae mangga mamam main weh sorang jeung iron man	negative
info live streaming	neutral
menang kalah milik juaraberdoa	positive
tuh abang coba colek latih bangga abang sendakep pinggir lapang	positive
forever tanding hasil sumbang gol aku progres main indonesia tingkat lawan mudah menyerahputus asa respect support timnas indonesia cinta cinta	positive
piala asia	neutral
australia pulang pulang bareng arah	negative
goaaalllll	neutral
moga lawan jepang kiper nadeo	negative
tim juru kunci	negative
dibully vs argentina main hujat deterjen sesuai ekspektasi	negative
yakob sayur ernando orang	neutral
cidera manager timnas bilang sadil kalah saing witan cidera sebarin hoax	negative
abang	neutral
semangat semangat	positive
yudha wkwkwkwk kutu	neutral
main tenang grusakgrusuk fokus takut blunder tegang blunder	positive
semangat timnas kalah menang dukung dengar hujat pengin instan menang	positive
menang tim hokky doang	neutral
last tanding vs jepang fokus garuda	positive
sananta mana ajg kesel banget	negative
sty tolol	negative
lupa komentku hapus pengin akak dosatertawa tertawa tertawa tertawa	positive
request siap kualifikasi wc tolong datang latih dzenan finishing timnas tingkat minimal kualitas striker latih latih dzenan	positive
kereeennn lanjut	negative
syasmita josssss egy ganti hokki masuk	negative
hilang bahan lokal pret ayo panjang kontrak sty	positive
st ernando	neutral
siarin	neutral
bismillahirrahmanirrahim	neutral
ernandoo gacor keep spirit selamat garuda	positive
elkan baggot cadanginsedih	neutral
mantap kang	positive
usir indonesia tum	negative
gusi bengkak kak	negative
ajang bantai	negative
sangka duga indonesia lolos moga main bagus	positive
jaewon ayah keren	neutral
link cek story gue	negative
hatur nuhun joel antos kasumpingan liga	neutral
masyaallah adem banget lihat komentar netizen indonesia semangat garuda	positive
nontonnya dag dig dug ser	neutral
super save terima kasih nando elang	positive
garuda fighting kuat	positive
tayang mana plis tau	negative
janji lupa panjang kontrak latih tayo	positive
frl tertawa tertawa tertawa cryyy	positive
bismillahirrahmanirrahim indonesia	neutral
cinta	positive
kapai	neutral
spesial witan latih aduh	positive
sedih sedih sedih	negative
bismillahirrahmanirrahim garuda	positive
keren main jepang auto pulang kaya wkwkk	neutral
goblok	negative
assalamualaikum komentar batas	neutral
tipistipis boloo	neutral
alhamdulillahcinta	neutral
naturalisasi kalah	negative
mata benci kayak mas arhan salah	negative
dendy sayang sumardji	neutral
egy slepet	neutral
tanggap nabil jadi emosi	positive
soc main liga tarkam	neutral
dhlh	neutral
towel bangsat	negative
jepang menang happy nfk clenshett	positive
bagus luck guys cinta	positive
jordy min	neutral
cinta	positive
alhamdulillah allah congratulations indonesia	positive
kelazzzz abang	neutral
alhamdulillah	positive
jujur era luis milla sty mental main lokal bicara asi games filosofi sepak bola temu daya juang stamina	positive
alhamdulillah alhamdulillahcinta	positive
keren banget sumpah main indonesia	positive
pas banget foto lollll	positive
arhan bagus shayne pattynama	positive
sabar bunn	positive
turut abang coba lihat performa timnas kualifikasi pildun selesai	positive
jordy fokus	positive
kabar jordy min parah darah	negative
lanjut sejarah cipta sejarah	negative
offside gol	positive
wkwkwk	positive
shayne pattynama pulang jaga ibu sandy walsh bela klub harga latih	positive
bacot	negative
salah hidup harap cok bocil kau paham bahasa indonesia	negative
witan kerja arhan	positive
miwaaa	neutral
tenang santai	positive
cetak sejarah target latih sty capai nih progres bagus cetak sejarah harap indonesia boys habishabisan fase cetak sejarah pokok ayos malaysia imbang lawan korea menang adu penalti menang kalah adu penalti bagus go go go garuda	positive
wow	neutral
menang mah bebas	neutral
kuat	negative
taiiiik main kau	neutral
langsung ketemu	positive
bismillahirrahmanirrahim jumat berkah moga menang pokok bek teledor kayak kemarin doa elang	positive
kali latih online sok atur starter sianu anak mas sty percaya sty main butuh	negative
minum obat	negative
terus kurnia mega mah kiper seba gacor hoki	neutral
amin	neutral
apple kasih disco kak	positive
terima kasih dukung	positive
sedih sedih sedih sedih sedih	negative
cari perhati bangsat	negative
cintaa banget rapaellcinta cinta	positive
tunjuk ranking main	neutral
debut gol lawan jepang gila	negative
hadehh egy pasang	positive
st	neutral
menang imbang	positive
yess ptynamana main	neutral
cepat kilat komennya abang tunggu	neutral
terima kasih garuda banggacinta	positive
komentar kasar hapus	negative
bangga	positive
inti main egois fokus disiplin menang	positive
bismillahirrahmanirrahim semangat main timnas	positive
bismillahirrahmanirrahim	neutral
finally shayne pattynama	neutral
baring sandy walsh cinta	positive
chigga coba langgar penalty sedih	negative
dipujipuji	neutral
bangga indonesia cinta cinta cinta semangat garuda cinta	positive
ayo siasiakan sempat matang formasi aco pasang main main kualitas jatah main	positive
hokky main sekolah sepak bola ssb	neutral
tunggu bahrain kalah langsung pulang main timnas	negative
sandy walsh	neutral
lihat formasi andal	positive
ayo	positive
cek info abang towel akmal rawat rs silaturrahmi	negative
cinta	positive
egy kartu matisedih	neutral
harga juang main indonesia	positive
asnawi wajib cadangin	negative
itel	neutral
menang untung	positive
bot main sepakbola	negative
bismillahirrahmanirrahim moga timnas indonesia menang garuda	positive
tanding tunggu sananta main main sedih sananta	negative
abang	neutral
offside tuh gol	positive
vidias	neutral
media vietnam kemarin omong king indonesia pulang dluanko suara yasekarang pulang dluan tuh	negative
cinta	positive
tunjuk perform baik tampil	neutral
cinta timnas cinta cinta cinta	positive
sany shayne pattynama jadi starter coba	neutral
atur main	neutral
optimis guys menang	positive
sedih sedih	negative
ngotot coi main keren	positive
indonesia	neutral
ndasmu batung	neutral
hahahahahahahahaha	neutral
banggakalian hebat	neutral
terima kasih garuda moga lolos fase grup jalur rd	negative
goblok orangorang bisabisanya nanyain sandy walsh main tau tuh uji coba cedera lawan iran	negative
erti	neutral
pay kapten payong ngopi tertawa	positive
oka	neutral
realitanya kualitas ssb bagus teknik passing masuk timnas ajar	negative
tonton tolol lawak nih bocah	negative
mantap main timnas indonesia sesungguhnyaasik tontonngototpressing ampunmudahan konsistencinta cinta cinta	positive
var udah bayar offside	negative
cinta cinta cinta	positive
mental garuda hancur netizen	positive
hei harga lihat lambang garuda baju ayo baik	positive
idn forza inter begadang day	negative
tombol optimis menang timnas indonesia	positive
terima kasih erik doa	neutral
sty hebat kuat kuat	negative
erti sananta pnh main awal menit peluang	neutral
abang tenaga manten insya allah gacor hahaha	positive
mantap	positive
anak emas witan	negative
indonesia kalah main asing australia	negative
finishing tenang lini kayak asah sedih sempat tambah gol andai main tenang	positive
kelas sandy walsh kalah atlet lempar lembing	neutral
terbang garuda elang	positive
